City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Dubai,AE,2022-02-06 19:15:24,25.2582,55.3047,71.22,56,20,11.5,few clouds
138,Porto Walter,BR,2022-02-06 19:11:15,-8.2686,-72.7439,88.29,58,100,3.62,overcast clouds
139,Hervey Bay,AU,2022-02-06 19:15:43,-25.2986,152.8535,66.04,93,18,11.01,light rain
140,La Ronge,CA,2022-02-06 19:15:43,55.1001,-105.2842,3.45,78,100,10.36,overcast clouds
141,Stykkisholmur,IS,2022-02-06 19:15:44,65.0757,-22.7297,22.71,84,92,12.01,overcast clouds
142,Cherskiy,RU,2022-02-06 19:15:02,68.75,161.3,-31.16,100,24,1.1,few clouds
143,Bulawayo,ZW,2022-02-06 19:15:44,-20.15,28.5833,63.66,69,34,7.78,scattered clouds
144,Naron,ES,2022-02-06 19:15:45,43.5167,-8.1528,54.01,83,96,2.46,overcast clouds
145,Kapuskasing,CA,2022-02-06 19:11:12,49.4169,-82.4331,15.89,79,100,5.75,overcast clouds
146,Peniche,PT,2022-02-06 19:15:45,39.3558,-9.3811,58.62,69,21,14.99,few clouds
147,Umm Lajj,SA,2022-02-06 19:15:46,25.0213,37.2685,67.28,49,0,19.57,clear sky
148,Coahuayana,MX,2022-02-06 19:15:47,18.7333,-103.6833,87.28,30,5,7.61,clear sky
149,Lakes Entrance,AU,2022-02-06 19:15:47,-37.8811,147.981,52.57,91,8,5.59,clear sky
150,Pimentel,PE,2022-02-06 19:15:48,-6.8367,-79.9342,79.09,57,20,12.66,few clouds
151,Lucapa,AO,2022-02-06 19:15:48,-8.4192,20.7447,66.4,94,84,3.06,light rain
152,Beloha,MG,2022-02-06 19:15:48,-25.1667,45.05,74.12,94,100,19.26,moderate rain
153,Mattru,SL,2022-02-06 19:15:49,7.6244,-11.8332,82.8,62,6,8.79,clear sky
154,Mecca,SA,2022-02-06 19:15:42,21.4267,39.8261,69.15,39,5,6.04,clear sky
155,Ugoofaaru,MV,2022-02-06 19:15:50,5.6667,73.0,81.19,67,68,10.2,broken clouds
156,Kaitangata,NZ,2022-02-06 19:15:50,-46.2817,169.8464,47.93,75,10,1.45,clear sky
157,Kihei,US,2022-02-06 19:15:51,20.785,-156.4656,76.84,74,20,14.97,few clouds
158,Mackay,AU,2022-02-06 19:13:12,-21.15,149.2,74.68,66,86,18.95,overcast clouds
159,Alice Springs,AU,2022-02-06 19:12:48,-23.7,133.8833,58.55,94,0,6.91,clear sky
160,Valencia,ES,2022-02-06 19:13:55,39.3333,-0.8333,51.03,85,68,3.2,broken clouds
161,Talnakh,RU,2022-02-06 19:15:52,69.4865,88.3972,-26.18,98,52,2.53,broken clouds
162,Berlevag,NO,2022-02-06 19:15:06,70.8578,29.0864,21.09,85,41,18.01,scattered clouds
163,Lufilufi,WS,2022-02-06 19:15:53,-13.8745,-171.5986,78.58,80,100,18.63,light rain
164,Senneterre,CA,2022-02-06 19:15:53,48.3835,-77.2328,14.22,90,100,11.18,light snow
165,Khatanga,RU,2022-02-06 19:15:15,71.9667,102.5,-18.33,98,99,8.61,overcast clouds
166,Marienburg,PL,2022-02-06 19:15:54,54.0359,19.0266,42.12,96,100,20.11,light rain
167,Tessalit,ML,2022-02-06 19:11:22,20.1986,1.0114,70.7,10,0,6.76,clear sky
168,Chara,RU,2022-02-06 19:15:54,56.9064,118.2631,-5.4,85,100,2.13,overcast clouds
169,Shelburne,CA,2022-02-06 19:15:55,44.0787,-80.2041,28.67,75,88,18.59,overcast clouds
170,Pisco,PE,2022-02-06 19:15:56,-13.7,-76.2167,72.01,88,20,9.22,mist
171,Raudeberg,NO,2022-02-06 19:15:56,61.9875,5.1352,38.86,87,87,1.01,overcast clouds
172,Acapulco,MX,2022-02-06 19:15:16,16.8634,-99.8901,85.82,58,0,6.91,clear sky
173,Ribeira Grande,PT,2022-02-06 19:15:57,38.5167,-28.7,63.0,77,75,9.22,broken clouds
174,Chapleau,CA,2022-02-06 19:15:24,47.8405,-83.4034,21.29,79,100,6.91,overcast clouds
175,Havre-Saint-Pierre,CA,2022-02-06 19:15:58,50.2334,-63.5986,5.59,46,0,17.27,clear sky
176,Salalah,OM,2022-02-06 19:15:59,17.0151,54.0924,75.29,78,0,3.44,clear sky
177,Ancud,CL,2022-02-06 19:15:59,-41.8697,-73.8203,75.22,66,10,6.38,clear sky
178,Fortuna,US,2022-02-06 19:15:59,40.5982,-124.1573,61.93,62,0,1.99,clear sky
179,Cidreira,BR,2022-02-06 19:16:00,-30.1811,-50.2056,81.25,51,0,11.86,clear sky
180,Kostino,RU,2022-02-06 19:16:01,58.9097,53.2691,18.1,95,100,6.02,overcast clouds
181,Lebu,CL,2022-02-06 19:16:01,-37.6167,-73.65,66.25,64,0,13.42,clear sky
182,North Bend,US,2022-02-06 19:17:02,43.4065,-124.2243,59.16,77,0,8.05,clear sky
183,Nikolskoye,RU,2022-02-06 19:15:36,59.7035,30.7861,35.87,94,100,12.28,light snow
184,Saskylakh,RU,2022-02-06 19:12:26,71.9167,114.0833,-24.65,100,95,1.61,overcast clouds
185,Dikson,RU,2022-02-06 19:17:03,73.5069,80.5464,-20.54,99,94,9.64,overcast clouds
186,Bethel,US,2022-02-06 19:13:45,41.3712,-73.414,29.71,56,0,9.22,clear sky
187,Ourinhos,BR,2022-02-06 19:17:04,-22.9789,-49.8706,78.28,84,97,5.39,overcast clouds
188,Goksun,TR,2022-02-06 19:17:04,38.021,36.4973,29.35,87,5,4.05,clear sky
189,Kawalu,ID,2022-02-06 19:17:04,-7.3817,108.2082,73.31,95,100,3.4,overcast clouds
190,Sturgis,US,2022-02-06 19:17:05,41.7992,-85.4192,33.67,64,0,12.66,clear sky
191,Barcelona,ES,2022-02-06 19:15:08,41.3888,2.159,54.97,54,20,1.99,few clouds
192,Altay,CN,2022-02-06 19:17:06,47.8667,88.1167,8.44,46,10,10.09,clear sky
193,Bubaque,GW,2022-02-06 19:17:07,11.2833,-15.8333,77.77,71,1,15.82,clear sky
194,Umea,SE,2022-02-06 19:17:07,63.8284,20.2597,31.93,93,100,5.75,overcast clouds
195,Srednekolymsk,RU,2022-02-06 19:17:08,67.45,153.6833,-36.83,100,58,1.28,broken clouds
196,Lorengau,PG,2022-02-06 19:16:36,-2.0226,147.2712,81.01,79,100,7.58,overcast clouds
